Marital status,Application mode,Application order,evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Output
4,1,1,0,1,1,24,14,5,11,0,0,1,0,1,47,0,16.2,0.3,-0.92,Graduate
2,16,1,0,1,1,22,27,9,5,0,0,1,0,0,31,0,8.9,1.4,3.51,Graduate
1,1,1,1,1,1,13,27,8,6,0,0,1,0,1,21,0,16.2,0.3,-0.92,Graduate
1,1,1,0,1,1,23,28,1,1,0,0,1,0,0,21,0,7.6,2.6,0.32,Graduate
1,9,2,0,1,1,3,1,4,5,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,12,1,1,1,1,3,3,2,2,0,0,1,0,0,24,0,9.4,-0.8,-3.12,Graduate
1,8,4,1,1,1,13,14,5,11,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,8,4,1,1,1,13,14,29,29,0,0,1,0,1,18,0,8.9,1.4,3.51,Graduate
2,1,1,1,1,1,3,28,3,5,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,8,2,1,1,1,13,28,10,9,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,1,4,4,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,8,4,1,1,1,1,1,5,11,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,13,28,6,8,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,8,4,1,1,1,23,28,10,8,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,1,23,27,10,10,0,0,1,0,1,21,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,13,14,5,10,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,8,4,1,1,1,1,14,6,6,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,3,1,1,1,9,9,12,12,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,16,1,1,1,1,3,14,3,2,0,1,1,0,0,26,0,11.1,0.6,2.02,Graduate
1,8,2,1,1,1,13,14,5,9,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
1,8,4,1,1,1,23,28,6,8,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,1,28,5,4,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,13,14,4,7,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,26,14,4,6,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,1,1,1,1,1,13,28,6,10,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,13,1,1,1,1,22,27,8,10,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,1,1,6,2,0,0,1,0,0,19,0,16.2,0.3,-0.92,Graduate
1,14,4,1,1,1,22,27,10,10,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,13,14,6,9,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,1,1,10,7,0,1,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,23,28,8,8,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,1,1,0,1,1,22,28,10,11,0,0,1,0,0,19,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,19,27,5,10,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
1,1,4,1,1,1,23,28,8,8,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
1,8,1,1,1,1,3,1,10,11,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,8,1,1,1,1,2,7,4,6,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
2,12,1,0,1,1,22,27,10,10,0,0,1,0,0,33,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,13,14,8,6,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
4,12,1,0,1,1,22,27,7,7,0,0,1,0,0,39,0,10.8,1.4,1.74,Graduate
2,12,1,1,1,1,22,27,10,10,0,0,1,0,0,44,0,12.7,3.7,-1.7,Graduate
1,14,1,1,1,1,13,14,10,9,0,0,1,0,1,20,0,12.4,0.5,1.79,Graduate
2,1,1,1,1,1,22,28,10,8,0,1,1,0,1,18,0,7.6,2.6,0.32,Graduate
1,8,1,1,1,1,13,1,5,6,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,8,4,1,1,1,13,28,5,2,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,22,28,8,6,0,0,1,0,1,21,0,15.5,2.8,-4.06,Graduate
1,1,4,1,1,1,13,28,5,9,0,0,1,0,1,21,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,23,27,29,46,0,0,1,0,1,19,0,8.9,1.4,3.51,Graduate
2,14,1,0,1,1,22,29,10,5,0,0,1,0,0,50,0,16.2,0.3,-0.92,Graduate
1,8,1,1,1,1,1,14,5,8,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
4,12,1,0,1,1,1,27,20,43,0,0,1,0,0,35,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,1,1,5,5,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,13,14,6,6,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
1,1,1,1,1,1,19,24,1,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,22,27,10,10,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,8,2,1,1,1,1,14,5,4,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,4,1,1,1,1,1,5,10,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,16,1,1,1,1,3,14,4,11,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,8,1,1,1,1,22,27,6,6,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,1,14,4,10,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,8,1,1,1,1,1,14,5,5,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,1,2,1,1,1,13,14,8,8,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
1,1,3,1,1,1,1,1,5,11,0,0,1,0,0,20,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,1,28,10,8,0,0,1,0,1,20,0,8.9,1.4,3.51,Graduate
1,1,1,1,1,1,22,27,12,12,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,1,1,10,10,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,1,4,1,1,1,22,27,10,10,0,0,1,0,1,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,2,1,3,9,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
1,13,1,0,1,1,1,2,5,4,0,0,1,0,0,30,0,7.6,2.6,0.32,Graduate
1,1,6,1,1,1,3,1,4,4,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Graduate
1,8,6,1,1,1,13,2,6,4,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,22,27,10,4,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,4,1,1,1,23,28,4,8,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,8,1,1,1,1,13,28,5,11,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,1,3,1,1,1,22,28,10,10,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
1,12,1,0,1,1,22,27,8,9,0,0,1,0,1,27,0,15.5,2.8,-4.06,Graduate
1,8,2,1,1,1,23,28,7,9,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,1,14,5,9,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,1,6,1,1,1,13,14,6,6,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,1,1,1,1,1,13,27,5,6,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,8,6,1,1,1,13,28,10,4,0,0,1,0,0,19,0,12.7,3.7,-1.7,Graduate
1,1,5,1,1,1,13,14,8,9,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
1,8,1,1,1,1,13,14,2,2,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,1,1,22,14,10,4,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,1,1,3,1,3,2,0,0,1,0,1,19,0,13.9,-0.3,0.79,Graduate
1,1,2,1,1,1,1,14,10,8,0,0,1,0,0,20,0,11.1,0.6,2.02,Graduate
1,9,1,1,1,1,23,27,6,6,0,0,1,0,0,20,0,10.8,1.4,1.74,Graduate
1,1,4,1,1,1,22,27,10,9,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
1,1,2,1,1,1,13,14,8,6,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
1,8,4,1,1,1,13,27,5,8,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Graduate
2,12,1,0,1,1,19,24,13,13,0,0,1,0,0,44,0,7.6,2.6,0.32,Graduate
2,12,1,1,1,1,1,14,5,10,0,0,1,0,0,36,0,8.9,1.4,3.51,Graduate
1,8,1,1,1,1,22,27,6,8,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,3,3,4,3,0,0,1,0,0,20,0,12.7,3.7,-1.7,Graduate
1,16,1,1,1,1,13,14,6,8,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
1,8,1,1,1,1,3,1,3,4,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,14,6,1,1,1,19,24,1,1,0,0,1,0,1,23,0,9.4,-0.8,-3.12,Graduate
1,1,5,1,1,1,13,28,5,9,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
1,8,1,1,1,1,22,27,5,10,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,8,3,1,1,1,1,27,10,10,0,0,1,0,1,20,0,10.8,1.4,1.74,Graduate
1,1,1,1,1,1,13,28,10,8,0,0,1,0,1,20,0,13.9,-0.3,0.79,Graduate
1,1,2,1,1,1,13,14,10,10,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,1,14,4,6,0,0,1,0,0,21,0,7.6,2.6,0.32,Graduate
1,1,1,1,1,1,3,1,4,4,1,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,1,1,1,1,5,5,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,9,6,1,1,1,1,14,2,2,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,1,3,1,1,1,1,14,10,6,0,0,1,0,1,20,0,12.4,0.5,1.79,Graduate
1,8,1,1,1,1,1,27,8,10,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
1,8,3,1,1,1,22,27,10,8,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
1,1,3,1,1,1,23,28,6,6,0,0,1,0,1,19,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,13,1,4,9,0,0,1,0,0,23,0,13.9,-0.3,0.79,Graduate
1,1,1,1,1,1,22,27,6,6,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
1,1,6,1,1,1,1,3,4,3,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,8,1,1,1,1,1,14,5,4,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,8,1,1,1,1,13,28,10,8,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,8,1,1,1,1,23,28,8,8,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,8,2,1,1,1,23,28,10,10,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,2,1,1,1,22,1,8,8,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,1,2,1,1,1,13,1,10,4,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,12,2,1,1,1,19,24,1,1,0,0,1,0,0,28,0,7.6,2.6,0.32,Graduate
2,12,1,1,1,1,22,14,10,5,0,0,1,0,0,50,0,8.9,1.4,3.51,Graduate
1,1,6,1,1,1,22,1,6,6,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
1,8,1,1,1,1,3,14,3,10,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,6,1,1,1,12,3,27,3,9,0,0,0,0,0,20,1,13.9,-0.3,0.79,Graduate
1,9,3,1,1,18,1,1,10,10,0,0,1,0,1,18,1,10.8,1.4,1.74,Graduate
1,12,1,1,1,1,3,1,3,11,0,0,1,1,0,24,0,9.4,-0.8,-3.12,Graduate
1,1,2,1,1,1,4,2,3,4,0,0,1,1,0,18,0,10.8,1.4,1.74,Graduate
1,14,1,0,1,1,3,3,5,5,0,0,1,1,0,24,0,13.9,-0.3,0.79,Graduate
1,8,1,1,1,1,3,14,5,5,0,0,1,1,0,21,0,15.5,2.8,-4.06,Graduate
